3,"""Greek"" Key Lime Pie",8 to 10 servings,8,436,64.7,13,10.3,http://allrecipes.com/recipe/greek-key-lime-pie/detail.aspx
20,15-Year-Old Pesto Sauce,1 0.5 cups,12,223,1.5,22.9,4.2,http://allrecipes.com/recipe/15-year-old-pesto-sauce/detail.aspx
23,1-Dish Pepperoni Cheese Pizza Bake,1 9.5-inch deep dish pizza,6,329,32.2,15,15.3,http://allrecipes.com/recipe/1-dish-pepperoni-cheese-pizza-bake/detail.aspx
24,1-Dish Taco Bake,6 to 8 servings,6,526,41.7,29.4,23.6,http://allrecipes.com/recipe/1-dish-taco-bake/detail.aspx
58,5-Minute Olive Hummus,1 0.5 cups,6,130,11.9,8.3,2.5,http://allrecipes.com/recipe/5-minute-olive-hummus/detail.aspx
92,A Little Country Pumpkin Cake,10 to 12 servings,12,538,79.9,22.5,5.1,http://allrecipes.com/recipe/a-little-country-pumpkin-cake/detail.aspx
128,ABC (Absolute Best Chewy) Chocolate Chippers,2 0.5 dozen,30,229,29.1,12.3,3.1,http://allrecipes.com/recipe/abc-absolute-best-chewy-chocolate-chippers/detail.aspx
133,Absolute Best Pancake Syrup,2 0.5 cups,10,178,23,9.4,0.9,http://allrecipes.com/recipe/absolute-best-pancake-syrup/detail.aspx
145,Absolutely Fabulous Greek/House Dressing,3 0.75 quarts,120,104,2.1,10.8,0.2,http://allrecipes.com/recipe/absolutely-fabulous-greekhouse-dressing/detail.aspx
162,Ace's BBQ Sauce for Grilling,1 0.5 cups,10,61,2.9,5.4,1,http://allrecipes.com/recipe/aces-bbq-sauce-for-grilling/detail.aspx
224,Agent Orange Habanero Pepper Paste,1 0.5 cups,24,5,1.2,0,0.2,http://allrecipes.com/recipe/agent-orange-habanero-pepper-paste/detail.aspx
228,Ahi Poke Basic,4 to 8 servings,4,396,8.6,13.7,58.4,http://allrecipes.com/recipe/ahi-poke-basic/detail.aspx
234,Aioli,1 0.5 cups,12,178,0.5,19.4,0.5,http://allrecipes.com/recipe/aioli/detail.aspx
299,Ali's Coo Coo for Coconut Relish,1 0.5 cups,12,130,14.7,8,0.6,http://allrecipes.com/recipe/alis-coo-coo-for-coconut-relish/detail.aspx
315,All Day Versatile Sauce,6 to 8 servings,6,330,25.3,18.6,18.7,http://allrecipes.com/recipe/all-day-versatile-sauce/detail.aspx
318,All Purpose Lime Marinade,1 0.5 cup,4,18,4.2,0,0.8,http://allrecipes.com/recipe/all-purpose-lime-marinade/detail.aspx
328,All-Around Spice Rub,1 0.75 cups,12,56,12.5,1.3,1.8,http://allrecipes.com/recipe/all-around-spice-rub/detail.aspx
354,Ally's Chocolate Chip Cookies,2 0.5 dozen,12,478,66,21.9,7.3,http://allrecipes.com/recipe/allys-chocolate-chip-cookies/detail.aspx
370,Almond Buttercrunch Candy I,3 0.5-pounds,56,162,15.2,11.4,1.2,http://allrecipes.com/recipe/almond-buttercrunch-candy-i/detail.aspx
380,Almond Coconut Chocolate Cookie Balls,3 to 4 dozen,48,71,7.8,4.1,1.6,http://allrecipes.com/recipe/almond-coconut-chocolate-cookie-balls/detail.aspx
402,Almond Filling,1 0.25 cups,10,63,8.9,1.5,2.1,http://allrecipes.com/recipe/almond-filling/detail.aspx
